date,start_time,round,dayofweek,venue,result,goals_for,goals_against,opponent,passes_completed_x,passes_x,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,goals,shots,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,passes_y,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses_x,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed_y,passes_offsides,passes_blocked,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions_x,tackles_interceptions,clearances,errors,possession,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions_y,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season
2020-12-06,16:30,Matchweek 11,Sun,Home,W,2,0,Tottenham,205,309,66.3,3446,1363,94,119,79.0,87,118,73.7,16,49,32.7,2,0.2,0.1,3,5,0,0,10,2,5,3,60.0,0.4,0.67,23.3,1,0,0,0.3,0.3,0.05,1.7,1.7,309,269,39,10,0,2,6,14,3,3,0,0,205,1,5,10,8,0,1,0,1,0,4,3,0,1,0,0,0,13,7,10,3,0,8,19,42.1,11,7,2,5,5,18,55,0,31,430,93,245,148,42,5,430,11,5,45.5,6,54.5,162,1065,623,13,10,4,12,9,204,10,1,0,0,16,12,1,6,5,7,0,0,0,45,19,19,50.0,2020
2020-12-13,19:15,Matchweek 12,Sun,Away,W,1,0,Burnley,240,344,69.8,4764,1948,106,121,87.6,92,114,80.7,40,93,43.0,0,1.4,0.8,8,18,5,2,18,0,10,2,20.0,0.0,0.0,15.9,0,0,0,1.4,1.4,0.15,-1.4,-1.4,344,309,32,8,0,0,17,14,4,4,0,0,240,3,6,19,12,3,0,2,2,0,0,0,0,0,0,0,0,12,7,5,6,1,5,9,55.6,4,11,6,5,17,29,42,0,35,470,81,172,198,103,16,470,9,4,44.4,5,55.6,264,1216,516,8,9,1,12,7,238,18,1,0,0,11,5,3,17,17,7,0,0,0,51,25,10,71.4,2020
2020-12-16,18:00,Matchweek 13,Wed,Away,D,1,1,Southampton,565,680,83.1,9252,2761,282,312,90.4,222,256,86.7,45,80,56.3,1,1.0,1.2,6,53,11,0,45,1,13,3,23.1,0.08,0.33,23.5,0,0,0,1.2,1.2,0.09,-0.2,-0.2,680,633,46,14,2,5,25,19,7,3,4,0,565,1,11,21,15,1,3,0,2,0,2,2,0,0,0,0,0,11,8,3,5,3,6,14,42.9,8,8,2,6,9,20,15,0,64,765,47,197,369,203,22,765,13,8,61.5,5,38.5,542,2538,1309,18,25,4,11,3,562,45,3,0,0,13,11,1,25,9,8,0,0,0,53,11,17,39.3,2020
2020-12-19,17:30,Matchweek 14,Sat,Home,W,2,1,Everton,347,439,79.0,7006,2309,118,139,84.9,175,192,91.1,46,83,55.4,1,0.4,0.3,5,24,4,2,20,1,9,2,22.2,0.11,0.5,19.7,1,0,0,0.6,0.6,0.07,0.4,0.4,439,394,44,8,0,5,18,17,4,2,1,0,347,1,11,15,9,2,0,3,1,0,2,0,1,0,1,0,0,12,6,10,1,1,4,13,30.8,9,8,4,4,11,23,18,0,43,528,79,188,227,114,12,528,12,7,58.3,5,41.7,290,1701,885,16,9,4,17,4,344,20,1,0,0,9,9,1,18,11,6,0,1,0,43,14,10,58.3,2020
2020-12-26,17:30,Matchweek 15,Sat,Away,L,1,3,Chelsea,452,556,81.3,7943,2791,217,237,91.6,168,198,84.8,50,88,56.8,1,1.6,1.2,14,42,10,4,46,1,18,2,11.1,0.06,0.5,16.8,1,0,1,2.6,1.8,0.1,-1.6,-0.8,556,512,44,12,0,5,34,12,9,1,5,1,452,0,8,33,20,5,4,1,3,0,2,1,0,1,0,0,0,10,3,4,6,0,5,12,41.7,7,13,4,9,14,24,16,1,60,679,67,227,269,185,32,678,21,9,42.9,12,57.1,424,2128,1183,30,14,11,15,4,448,45,1,0,0,10,13,0,34,14,3,1,1,0,48,35,16,68.6,2020
2020-12-29,18:00,Matchweek 16,Tue,Home,L,0,1,Brighton,441,549,80.3,7747,2752,194,213,91.1,171,205,83.4,52,85,61.2,0,0.7,1.4,10,36,10,4,39,0,13,2,15.4,0.0,0.0,13.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,549,507,42,4,1,2,27,23,5,0,4,0,441,0,12,22,17,2,0,3,0,0,0,0,0,0,0,0,0,17,10,9,6,2,6,11,54.5,5,10,2,8,7,24,8,0,50,624,64,207,266,157,22,624,17,13,76.5,4,23.5,410,2174,1007,14,10,0,4,6,439,39,2,0,0,11,4,0,27,7,10,0,0,0,55,24,11,68.6,2020
2021-01-02,20:00,Matchweek 17,Sat,Home,L,0,4,West Brom,302,421,71.7,5402,2314,145,171,84.8,100,127,78.7,41,85,48.2,0,1.0,0.6,7,33,6,2,31,0,7,3,42.9,0.0,0.0,19.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0,421,376,42,6,1,2,21,18,3,2,0,0,302,3,8,11,9,1,0,0,0,1,0,0,0,0,0,0,0,13,7,5,7,1,6,18,33.3,12,14,3,11,20,33,18,1,39,528,62,145,241,148,12,528,16,10,62.5,6,37.5,200,1192,612,11,11,1,16,8,300,30,1,0,0,7,4,3,21,20,7,0,0,0,51,27,15,64.3,2020
2021-01-14,20:00,Matchweek 18,Thu,Away,D,0,0,Crystal Palace,275,364,75.5,4632,2218,153,170,90.0,98,119,82.4,22,61,36.1,0,0.5,0.5,9,26,4,1,31,0,12,2,16.7,0.0,0.0,18.2,1,0,0,0.8,0.8,0.07,-0.8,-0.8,364,329,34,11,0,1,9,12,3,2,0,1,275,1,9,20,13,2,2,1,2,0,0,0,0,0,0,0,0,14,7,5,9,0,9,27,33.3,18,10,2,8,17,31,24,0,33,485,57,204,189,97,18,485,30,17,56.7,13,43.3,286,1273,591,8,8,5,13,4,275,31,1,0,0,11,11,1,9,17,7,0,0,0,61,14,17,45.2,2020
2021-01-18,20:00,Matchweek 19,Mon,Away,L,0,3,Newcastle Utd,253,353,71.7,5005,2162,101,123,82.1,109,136,80.1,37,69,53.6,0,0.2,0.2,4,23,4,0,18,0,4,1,25.0,0.0,0.0,17.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,353,306,46,12,0,2,10,16,2,1,0,1,253,1,4,7,5,1,0,0,1,0,0,0,0,0,0,0,0,11,4,7,3,1,4,13,30.8,9,12,3,9,3,14,11,0,34,441,63,191,169,87,7,441,13,9,69.2,4,30.8,269,1419,562,9,4,2,17,3,250,18,0,0,0,8,9,1,10,3,4,0,0,0,40,16,9,64.0,2020
2021-01-26,20:15,Matchweek 20,Tue,Home,L,1,3,Southampton,454,542,83.8,7767,2650,211,233,90.6,214,238,89.9,27,57,47.4,1,0.5,0.6,9,26,8,6,39,1,13,5,38.5,0.08,0.2,17.5,1,0,0,0.8,0.8,0.07,0.2,0.2,542,497,43,7,0,1,19,23,4,0,4,0,454,2,9,23,15,2,1,2,2,1,2,0,1,0,1,0,0,17,11,6,10,1,6,18,33.3,12,9,1,8,12,29,17,0,58,650,64,254,277,128,18,650,19,14,73.7,5,26.3,450,2030,990,19,11,3,20,10,450,39,1,0,0,11,6,2,19,12,11,0,0,0,44,10,11,47.6,2020
